Provision Testing,Input,Status 
Service Class,,"Ok, Not Ok, N/A"
RA for MSISDN,,"Ok, Not Ok, N/A"
RA for ICCID,,"Ok, Not Ok, N/A"
Welcome Note,,"Ok, Not Ok, N/A"
4G Profile,,"Ok, Not Ok, N/A"
STK Profile,,"Ok, Not Ok, N/A"
Hotline,,"Ok, Not Ok, N/A"
Pay For Me,*123*017#,"Ok, Not Ok, N/A"
Healthline,789,"Ok, Not Ok, N/A"
Balance Check,*566#,"Ok, Not Ok, N/A"
USSD Service,*111#,"Ok, Not Ok, N/A"
Push-Pull SMS,,"Ok, Not Ok, N/A"
FnF Activation,FNF number,"Ok, Not Ok, N/A"
Saving Contact in SIM Memory,,"Ok, Not Ok, N/A"
Saving SMS in SIM Memory,,"Ok, Not Ok, N/A"
FDN Testing (Enable),,"Ok, Not Ok, N/A"
FDN Testing (Call),,"Ok, Not Ok, N/A"
Preloaded Balance,,"Ok, Not Ok, N/A"
Balance Recharge (Scrath Card),,"Ok, Not Ok, N/A"
Balance Recharge (ERS),,"Ok, Not Ok, N/A"
Free Airtime (BDT),,"Ok, Not Ok, N/A"
Validity (In Days),,"Ok, Not Ok, N/A"
Balance/Usage After Testing (BDT),,"Ok, Not Ok, N/A"
Remarks,,
